Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
JEWEL @ BUANGKOK,"1,250,000",775.01,"1,613",Mar-24,COMPASSVALE BOW,Resale,Strata,72,"17,361",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
ONE-NORTH RESIDENCES,"1,450,000","1,076.4","1,347",Mar-24,ONE-NORTH GATEWAY,Resale,Strata,100,"14,500",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,06 to 10
PARC ESTA,"2,550,000","1,119.46","2,278",Mar-24,SIMS AVENUE,Resale,Strata,104,"24,519",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
THE POIZ RESIDENCES,"1,315,000",882.65,"1,490",Mar-24,MEYAPPA CHETTIAR ROAD,Resale,Strata,82,"16,037",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,16 to 20
FORESQUE RESIDENCES,"738,000",462.85,"1,594",Mar-24,PETIR ROAD,Resale,Strata,43,"17,163",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10
FOURTH AVENUE RESIDENCES,"2,600,000",947.23,"2,745",Mar-24,FOURTH AVENUE,Resale,Strata,88,"29,545",-,Apartment,1,99 yrs lease commencing from 2018,10,Core Central Region,06 to 10
TEXTILE CENTRE,"1,020,000",882.65,"1,156",Mar-24,JALAN SULTAN,Resale,Strata,82,"12,439",-,Apartment,1,99 yrs lease commencing from 1970,07,Rest of Central Region,16 to 20
TERRASSE,"1,185,000",807.3,"1,468",Mar-24,TERRASSE LANE,Resale,Strata,75,"15,800",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
TERRASSE,"1,680,000","1,108.69","1,515",Mar-24,TERRASSE LANE,Resale,Strata,103,"16,311",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
OXLEY EDGE,"920,000",430.56,"2,137",Mar-24,RIVER VALLEY ROAD,Resale,Strata,40,"23,000",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
FABER CREST,"1,590,000","1,248.62","1,273",Mar-24,FABER HEIGHTS,Resale,Strata,116,"13,707",-,Condominium,1,99 yrs lease commencing from 1996,05,Outside Central Region,01 to 05
REGENT HEIGHTS,"1,100,000","1,162.51",946,Mar-24,BUKIT BATOK EAST AVENUE 5,Resale,Strata,108,"10,185",-,Condominium,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
THE GARDENS AT BISHAN,"1,900,000","1,227.1","1,548",Mar-24,SIN MING WALK,Resale,Strata,114,"16,667",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
NOVA 88,"995,000",602.78,"1,651",Mar-24,BHAMO ROAD,Resale,Strata,56,"17,768",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
SCOTTS SQUARE,"1,880,000",624.31,"3,011",Mar-24,SCOTTS ROAD,Resale,Strata,58,"32,414",-,Apartment,1,Freehold,09,Core Central Region,21 to 25
THE GARDEN RESIDENCES,"783,888",452.09,"1,734",Mar-24,SERANGOON NORTH VIEW,Resale,Strata,42,"18,664",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10
THE ALPS RESIDENCES,"1,570,000","1,065.64","1,473",Mar-24,TAMPINES STREET 86,Resale,Strata,99,"15,859",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,06 to 10
WHISTLER GRAND,"1,420,000",764.24,"1,858",Mar-24,WEST COAST VALE,Resale,Strata,71,"20,000",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,21 to 25
D'LEEDON,"1,300,000",635.08,"2,047",Mar-24,LEEDON HEIGHTS,Resale,Strata,59,"22,034",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,21 to 25
SIMS URBAN OASIS,"1,182,000",624.31,"1,893",Mar-24,SIMS DRIVE,Resale,Strata,58,"20,379",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
BISHAN PARK CONDOMINIUM,"1,830,000","1,270.15","1,441",Mar-24,SIN MING WALK,Resale,Strata,118,"15,508",-,Condominium,1,99 yrs lease commencing from 1991,20,Rest of Central Region,06 to 10
CRAIG PLACE,"1,020,000",559.73,"1,822",Mar-24,CRAIG ROAD,Resale,Strata,52,"19,615",-,Apartment,1,99 yrs lease commencing from 1997,02,Rest of Central Region,11 to 15
THE INTERLACE,"1,690,000","1,054.87","1,602",Mar-24,DEPOT ROAD,Resale,Strata,98,"17,245",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
CONCOURSE SKYLINE,"2,850,000","1,356.26","2,101",Mar-24,BEACH ROAD,Resale,Strata,126,"22,619",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,16 to 20
CAMBRIDGE VILLAGE,"700,000",452.09,"1,548",Mar-24,CAMBRIDGE ROAD,Resale,Strata,42,"16,667",-,Apartment,1,Freehold,08,Rest of Central Region,01 to 05
DENG FU VILLE,"1,780,000","1,194.8","1,490",Mar-24,KAMPONG EUNOS,Resale,Strata,111,"16,036",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
THE LAKESHORE,"1,620,000","1,140.98","1,420",Mar-24,JURONG WEST STREET 41,Resale,Strata,106,"15,283",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,11 to 15
THE SEA VIEW,"3,690,000","1,410.08","2,617",Mar-24,AMBER ROAD,Resale,Strata,131,"28,168",-,Condominium,1,Freehold,15,Rest of Central Region,21 to 25
ENG KONG GREEN,"1,160,000",839.59,"1,382",Mar-24,ENG KONG CRESCENT,Resale,Strata,78,"14,872",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
BARTLEY RIDGE,"1,968,888","1,033.34","1,905",Mar-24,MOUNT VERNON ROAD,Resale,Strata,96,"20,509",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,16 to 20
RIO GARDENS,"1,300,000",947.23,"1,372",Mar-24,JALAN TAMAN,Resale,Strata,88,"14,773",-,Apartment,1,Freehold,12,Rest of Central Region,01 to 05
THE TRIZON,"4,850,000","2,314.26","2,096",Mar-24,RIDGEWOOD CLOSE,Resale,Strata,215,"22,558",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
THE INFLORA,"560,000",462.85,"1,210",Mar-24,FLORA DRIVE,Resale,Strata,43,"13,023",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
D'LEEDON,"1,885,000","1,076.4","1,751",Mar-24,LEEDON HEIGHTS,Resale,Strata,100,"18,850",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,11 to 15
WATERTOWN,"935,000",602.78,"1,551",Mar-24,PUNGGOL CENTRAL,Resale,Strata,56,"16,696",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
JADESCAPE,"1,268,800",645.84,"1,965",Mar-24,SHUNFU ROAD,Resale,Strata,60,"21,147",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
SIMSVILLE,"1,650,000","1,248.62","1,321",Mar-24,GEYLANG EAST AVENUE 2,Resale,Strata,116,"14,224",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,06 to 10
HILLBROOKS,"1,200,000",828.83,"1,448",Mar-24,HILLVIEW AVENUE,Resale,Strata,77,"15,584",-,Condominium,1,Freehold,23,Outside Central Region,01 to 05
PARC ESTA,"1,645,000",742.72,"2,215",Mar-24,SIMS AVENUE,Resale,Strata,69,"23,841",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
PARC ESTA,"1,405,000",635.08,"2,212",Mar-24,SIMS AVENUE,Resale,Strata,59,"23,814",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,11 to 15
DUO RESIDENCES,"1,180,000",538.2,"2,192",Mar-24,FRASER STREET,Resale,Strata,50,"23,600",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,01 to 05
NEWTON ONE,"4,550,000","1,915.99","2,375",Mar-24,NEWTON ROAD,Resale,Strata,178,"25,562",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
AZALEA PARK CONDOMINIUM,"1,438,000","1,313.21","1,095",Mar-24,FLORA ROAD,Resale,Strata,122,"11,787",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,06 to 10
LANGSTON VILLE,"3,180,000","1,862.17","1,708",Mar-24,KIM YAM ROAD,Resale,Strata,173,"18,382",-,Apartment,1,999 yrs lease commencing from 1841,09,Core Central Region,06 to 10
MAYSPRINGS,"1,448,888","1,323.97","1,094",Mar-24,PETIR ROAD,Resale,Strata,123,"11,780",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,06 to 10
STIRLING RESIDENCES,"1,840,000",764.24,"2,408",Mar-24,STIRLING ROAD,Resale,Strata,71,"25,915",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,21 to 25
THE INTERLACE,"2,900,000","1,765.3","1,643",Mar-24,DEPOT ROAD,Resale,Strata,164,"17,683",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,06 to 10
TANGLIN PARK,"4,200,000","1,765.3","2,379",Mar-24,RIDLEY PARK,Resale,Strata,164,"25,610",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
NEPTUNE COURT,"1,250,000","1,270.15",984,Mar-24,MARINE VISTA,Resale,Strata,118,"10,593",-,Apartment,1,99 yrs lease commencing from 1976,15,Outside Central Region,06 to 10
THE AMBRA,"1,278,000",818.06,"1,562",Mar-24,LORONG H TELOK KURAU,Resale,Strata,76,"16,816",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
WESTCOVE CONDOMINIUM,"1,160,000","1,162.51",998,Mar-24,WEST COAST CRESCENT,Resale,Strata,108,"10,741",-,Condominium,1,99 yrs lease commencing from 1995,05,Outside Central Region,01 to 05
VISTA RESIDENCES,"2,350,000","1,194.8","1,967",Mar-24,JALAN DATOH,Resale,Strata,111,"21,171",-,Condominium,1,Freehold,12,Rest of Central Region,01 to 05
THE BENTLY RESIDENCES@KOVAN,"1,638,000","1,022.58","1,602",Mar-24,KOVAN ROAD,Resale,Strata,95,"17,242",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
3@PHILLIPS,"1,410,000","1,033.34","1,365",Mar-24,PHILLIPS AVENUE,Resale,Strata,96,"14,688",-,Apartment,1,999 yrs lease commencing from 1886,19,Outside Central Region,01 to 05
ONE AMBER,"2,880,000","1,302.44","2,211",Mar-24,AMBER GARDENS,Resale,Strata,121,"23,802",-,Condominium,1,Freehold,15,Rest of Central Region,01 to 05
BISHAN 8,"1,860,000","1,162.51","1,600",Mar-24,BISHAN STREET 21,Resale,Strata,108,"17,222",-,Condominium,1,99 yrs lease commencing from 1996,20,Rest of Central Region,06 to 10
HIGHGATE,"1,680,000","1,108.69","1,515",Mar-24,TOH TUCK ROAD,Resale,Strata,103,"16,311",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05
D'LEEDON,"3,150,000","1,539.25","2,046",Mar-24,LEEDON HEIGHTS,Resale,Strata,143,"22,028",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,31 to 35
QUEENS PEAK,"1,400,000",624.31,"2,242",Mar-24,DUNDEE ROAD,Resale,Strata,58,"24,138",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,16 to 20
DUNMAN VIEW,"1,830,000","1,173.28","1,560",Mar-24,HAIG ROAD,Resale,Strata,109,"16,789",-,Condominium,1,99 yrs lease commencing from 1997,15,Rest of Central Region,16 to 20
THE CREST,"2,188,888","1,291.68","1,695",Mar-24,PRINCE CHARLES CRESCENT,Resale,Strata,120,"18,241",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,16 to 20
RIVERBANK @ FERNVALE,"1,350,000","1,044.11","1,293",Mar-24,FERNVALE CLOSE,Resale,Strata,97,"13,918",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,01 to 05
THE ALPS RESIDENCES,"1,310,000",936.47,"1,399",Mar-24,TAMPINES STREET 86,Resale,Strata,87,"15,057",-,Condominium,1,99 yrs lease commencing from 2015,18,Outside Central Region,01 to 05
BURLINGTON SQUARE,"1,600,000","1,065.64","1,501",Mar-24,BENCOOLEN STREET,Resale,Strata,99,"16,162",-,Apartment,1,99 yrs lease commencing from 1996,07,Rest of Central Region,11 to 15
E MAISON,"1,442,000",936.47,"1,540",Mar-24,BRADDELL ROAD,Resale,Strata,87,"16,575",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
RAFFLESIA CONDOMINIUM,"1,830,000","1,194.8","1,532",Mar-24,BISHAN STREET 21,Resale,Strata,111,"16,486",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"1,680,000",936.47,"1,794",Mar-24,KEPPEL BAY VIEW,Resale,Strata,87,"19,310",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,21 to 25
CITY GATE,"1,500,000",710.42,"2,111",Mar-24,BEACH ROAD,Resale,Strata,66,"22,727",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,11 to 15
PARC OASIS,"1,618,000","1,377.79","1,174",Mar-24,JURONG EAST AVENUE 1,Resale,Strata,128,"12,641",-,Condominium,1,99 yrs lease commencing from 1991,22,Outside Central Region,06 to 10
THE TAPESTRY,"1,730,000","1,097.93","1,576",Mar-24,TAMPINES STREET 86,Resale,Strata,102,"16,961",-,Condominium,1,99 yrs lease commencing from 2017,18,Outside Central Region,11 to 15
CHANGI COURT,"1,160,000",839.59,"1,382",Mar-24,UPPER CHANGI ROAD EAST,Resale,Strata,78,"14,872",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05
SYMPHONY SUITES,"898,000",688.9,"1,304",Mar-24,YISHUN CLOSE,Resale,Strata,64,"14,031",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
ONE-NORTH RESIDENCES,"955,000",592.02,"1,613",Mar-24,ONE-NORTH GATEWAY,Resale,Strata,55,"17,364",-,Apartment,1,99 yrs lease commencing from 2005,05,Rest of Central Region,11 to 15
EIGHT COURTYARDS,"1,080,000",861.12,"1,254",Mar-24,CANBERRA DRIVE,Resale,Strata,80,"13,500",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,06 to 10
PARC CENTROS,"1,800,000","1,140.98","1,578",Mar-24,PUNGGOL CENTRAL,Resale,Strata,106,"16,981",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,01 to 05
FOREST WOODS,"1,765,000",904.18,"1,952",Mar-24,LORONG LEW LIAN,Resale,Strata,84,"21,012",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05
PARKVIEW APARTMENTS,"900,000",925.7,972,Mar-24,BUKIT BATOK STREET 25,Resale,Strata,86,"10,465",-,Apartment,1,99 yrs lease commencing from 1994,23,Outside Central Region,01 to 05
THE PALETTE,"1,210,000",882.65,"1,371",Mar-24,PASIR RIS GROVE,Resale,Strata,82,"14,756",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05
MARINA BAY RESIDENCES,"2,450,000","1,054.87","2,323",Mar-24,MARINA BOULEVARD,Resale,Strata,98,"25,000",-,Condominium,1,99 yrs lease commencing from 2005,01,Core Central Region,26 to 30
PALM ISLES,"900,000",807.3,"1,115",Mar-24,FLORA DRIVE,Resale,Strata,75,"12,000",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
CAIRNHILL PLAZA,"5,050,000","2,820.17","1,791",Mar-24,CAIRNHILL ROAD,Resale,Strata,262,"19,275",-,Apartment,1,Freehold,09,Core Central Region,31 to 35
SKY GREEN,"1,400,000",796.54,"1,758",Mar-24,MACPHERSON ROAD,Resale,Strata,74,"18,919",-,Condominium,1,Freehold,13,Rest of Central Region,01 to 05
RIVERSAILS,"1,600,000","1,108.69","1,443",Mar-24,UPPER SERANGOON CRESCENT,Resale,Strata,103,"15,534",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
KOVAN REGENCY,"1,600,000",893.41,"1,791",Mar-24,KOVAN RISE,Resale,Strata,83,"19,277",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
THE QUARTZ,"1,380,000","1,054.87","1,308",Mar-24,COMPASSVALE BOW,Resale,Strata,98,"14,082",-,Condominium,1,99 yrs lease commencing from 2005,19,Outside Central Region,01 to 05
THE MARQUE @ IRRAWADDY,"1,488,888",871.88,"1,708",Mar-24,SHAN ROAD,Resale,Strata,81,"18,381",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
DOMUS,"1,640,000",904.18,"1,814",Mar-24,IRRAWADDY ROAD,Resale,Strata,84,"19,524",-,Apartment,1,Freehold,12,Rest of Central Region,26 to 30
TRE RESIDENCES,"1,210,000",699.66,"1,729",Mar-24,GEYLANG EAST AVENUE 1,Resale,Strata,65,"18,615",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,01 to 05
OLEANDER TOWERS,"1,700,000","1,151.75","1,476",Mar-24,LORONG 1 TOA PAYOH,Resale,Strata,107,"15,888",-,Apartment,1,99 yrs lease commencing from 1995,12,Rest of Central Region,01 to 05
KENTISH GREEN,"1,450,000","1,076.4","1,347",Mar-24,OXFORD ROAD,Resale,Strata,100,"14,500",-,Apartment,1,99 yrs lease commencing from 1995,08,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,435,000",624.31,"2,299",Mar-24,STIRLING ROAD,Resale,Strata,58,"24,741",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
THE LAKEFRONT RESIDENCES,"1,685,800","1,022.58","1,649",Mar-24,LAKESIDE DRIVE,Resale,Strata,95,"17,745",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,01 to 05
THE CLEARWATER,"1,740,000","1,377.79","1,263",Mar-24,BEDOK RESERVOIR VIEW,Resale,Strata,128,"13,594",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
LAKE GRANDE,"1,420,000",818.06,"1,736",Mar-24,JURONG LAKE LINK,Resale,Strata,76,"18,684",-,Condominium,1,99 yrs lease commencing from 2015,22,Outside Central Region,01 to 05
SEAHILL,"806,000",495.14,"1,628",Mar-24,WEST COAST CRESCENT,Resale,Strata,46,"17,522",-,Condominium,1,99 yrs lease commencing from 2011,05,Outside Central Region,11 to 15
NORTH PARK RESIDENCES,"970,000",548.96,"1,767",Mar-24,YISHUN CENTRAL 1,Resale,Strata,51,"19,020",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
THE SIXTH AVENUE RESIDENCES,"2,950,000","1,356.26","2,175",Mar-24,SIXTH AVENUE,Resale,Strata,126,"23,413",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
COMMONWEALTH TOWERS,"1,960,000",904.18,"2,168",Mar-24,COMMONWEALTH AVENUE,Resale,Strata,84,"23,333",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
ALESSANDREA,"1,900,000","1,097.93","1,731",Mar-24,ALEXANDRA ROAD,Resale,Strata,102,"18,627",-,Apartment,1,Freehold,03,Rest of Central Region,06 to 10
ARCHIPELAGO,"2,280,000","1,539.25","1,481",Mar-24,BEDOK RESERVOIR ROAD,Resale,Strata,143,"15,944",-,Condominium,1,99 yrs lease commencing from 2011,16,Outside Central Region,01 to 05
NORTHVALE,"818,000",721.19,"1,134",Mar-24,CHOA CHU KANG LOOP,Resale,Strata,67,"12,209",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,06 to 10
BISHAN 8,"1,650,000",979.52,"1,684",Mar-24,BISHAN STREET 21,Resale,Strata,91,"18,132",-,Condominium,1,99 yrs lease commencing from 1996,20,Rest of Central Region,06 to 10
THE METROPOLITAN CONDOMINIUM,"2,480,000","1,399.32","1,772",Mar-24,ALEXANDRA VIEW,Resale,Strata,130,"19,077",-,Condominium,1,99 yrs lease commencing from 2006,03,Rest of Central Region,21 to 25
THE ESTUARY,"1,670,000","1,302.44","1,282",Mar-24,YISHUN AVENUE 1,Resale,Strata,121,"13,802",-,Condominium,1,99 yrs lease commencing from 2008,27,Outside Central Region,06 to 10
PARC CENTROS,"805,000",473.62,"1,700",Mar-24,PUNGGOL CENTRAL,Resale,Strata,44,"18,295",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,11 to 15
FABER GARDEN CONDOMINIUM,"2,820,000","1,679.18","1,679",Mar-24,ANGKLONG LANE,Resale,Strata,156,"18,077",-,Condominium,1,Freehold,20,Rest of Central Region,01 to 05
THE ANTARES,"1,420,000",656.6,"2,163",Mar-24,MATTAR ROAD,Resale,Strata,61,"23,279",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
THE BEACON EDGE,"1,270,000",678.13,"1,873",Mar-24,TEMBELING ROAD,Resale,Strata,63,"20,159",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
CENTRAL GREEN CONDOMINIUM,"2,350,000","1,345.5","1,747",Mar-24,JALAN MEMBINA,Resale,Strata,125,"18,800",-,Condominium,1,99 yrs lease commencing from 1992,03,Rest of Central Region,06 to 10
