Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
MI CASA,"1,300,000","1,259.39","1,032",Apr-22,CHOA CHU KANG AVENUE 3,Resale,Strata,117,"11,111",-,Condominium,1,99 yrs lease commencing from 2008,23,Outside Central Region,06 to 10
THE INFLORA,"588,000",462.85,"1,270",Apr-22,FLORA DRIVE,Resale,Strata,43,"13,674",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
MIDTOWN RESIDENCES,"945,000",656.6,"1,439",Apr-22,UPPER SERANGOON ROAD,Resale,Strata,61,"15,492",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10
THE LAKEFRONT RESIDENCES,"1,580,000","1,065.64","1,483",Apr-22,LAKESIDE DRIVE,Resale,Strata,99,"15,960",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,11 to 15
8 @ MOUNT SOPHIA,"1,618,000","1,033.34","1,566",Apr-22,MOUNT SOPHIA,Resale,Strata,96,"16,854",-,Condominium,1,103 yrs lease commencing from 2002,09,Core Central Region,01 to 05
PARC RIVIERA,"950,000",645.84,"1,471",Apr-22,WEST COAST VALE,Resale,Strata,60,"15,833",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,21 to 25
THE CLEMENT CANOPY,"1,185,000",710.42,"1,668",Apr-22,CLEMENTI AVENUE 1,Resale,Strata,66,"17,955",-,Apartment,1,99 yrs lease commencing from 2016,05,Outside Central Region,16 to 20
SYMPHONY SUITES,"1,240,888","1,022.58","1,213",Apr-22,YISHUN CLOSE,Resale,Strata,95,"13,062",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,06 to 10
BARTLEY RIDGE,"1,650,000","1,033.34","1,597",Apr-22,MOUNT VERNON ROAD,Resale,Strata,96,"17,188",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,06 to 10
DUO RESIDENCES,"1,950,000","1,011.82","1,927",Apr-22,FRASER STREET,Resale,Strata,94,"20,745",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,06 to 10
ARDMORE II,"6,000,000","2,023.63","2,965",Apr-22,ARDMORE PARK,Resale,Strata,188,"31,915",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
WATERMARK ROBERTSON QUAY,"3,550,000","1,765.3","2,011",Apr-22,RODYK STREET,Resale,Strata,164,"21,646",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
QUEENS PEAK,"970,000",495.14,"1,959",Apr-22,DUNDEE ROAD,Resale,Strata,46,"21,087",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,11 to 15
ONE SHENTON,"1,750,000","1,119.46","1,563",Apr-22,SHENTON WAY,Resale,Strata,104,"16,827",-,Apartment,1,99 yrs lease commencing from 2005,01,Core Central Region,16 to 20
THE AMBROSIA,"1,680,000","1,140.98","1,472",Apr-22,LORONG N TELOK KURAU,Resale,Strata,106,"15,849",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
FLO RESIDENCE,"1,050,000",968.76,"1,084",Apr-22,PUNGGOL FIELD WALK,Resale,Strata,90,"11,667",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
TOWNHOUSE APARTMENTS,"2,350,000","2,228.15","1,055",Apr-22,CAVENAGH ROAD,Resale,Strata,207,"11,353",-,Apartment,1,99 yrs lease commencing from 1977,09,Core Central Region,06 to 10
BEAUTY WORLD CENTRE,"1,910,000","1,872.94","1,020",Apr-22,UPPER BUKIT TIMAH ROAD,Resale,Strata,174,"10,977",-,Apartment,1,99 yrs lease commencing from 1979,21,Rest of Central Region,21 to 25
SHELFORD SUITES,"2,540,000","1,367.03","1,858",Apr-22,SHELFORD ROAD,Resale,Strata,127,"20,000",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
LEEDON RESIDENCE,"7,000,000","2,658.71","2,633",Apr-22,LEEDON HEIGHTS,Resale,Strata,247,"28,340",-,Condominium,1,Freehold,10,Core Central Region,06 to 10
THE STELLAR,"2,125,000","1,593.07","1,334",Apr-22,WEST COAST ROAD,Resale,Strata,148,"14,358",-,Condominium,1,Freehold,05,Outside Central Region,01 to 05
VILLA MARINA,"1,980,000","2,012.87",984,Apr-22,JALAN SEMPADAN,Resale,Strata,187,"10,588",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
ECO,"885,000",656.6,"1,348",Apr-22,BEDOK SOUTH AVENUE 3,Resale,Strata,61,"14,508",-,Condominium,1,99 yrs lease commencing from 2012,16,Outside Central Region,06 to 10
ADAM PARK CONDOMINIUM,"2,708,888","1,743.77","1,553",Apr-22,ADAM ROAD,Resale,Strata,162,"16,722",-,Condominium,1,Freehold,11,Core Central Region,01 to 05
THE OCEANFRONT @ SENTOSA COVE,"6,000,000","3,326.08","1,804",Apr-22,OCEAN DRIVE,Resale,Strata,309,"19,417",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,06 to 10
BELLA VISTA,"803,000",592.02,"1,356",Apr-22,SOMMERVILLE ROAD,Resale,Strata,55,"14,600",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05
THE TENNERY,"770,000",613.55,"1,255",Apr-22,WOODLANDS ROAD,Resale,Strata,57,"13,509",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
BARTLEY RIDGE,"780,000",495.14,"1,575",Apr-22,MOUNT VERNON ROAD,Resale,Strata,46,"16,957",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
WATERFRONT @ FABER,"1,080,000",764.24,"1,413",Apr-22,FABER WALK,Resale,Strata,71,"15,211",-,Apartment,1,99 yrs lease commencing from 2013,05,Outside Central Region,01 to 05
STRATFORD COURT,"1,430,000","1,646.89",868,Apr-22,BEDOK RIA CRESCENT,Resale,Strata,153,"9,346",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05
CARIBBEAN AT KEPPEL BAY,"1,600,000",893.41,"1,791",Apr-22,KEPPEL BAY DRIVE,Resale,Strata,83,"19,277",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,06 to 10
HOLT RESIDENCES,"4,030,000","2,066.69","1,950",Apr-22,HOLT ROAD,Resale,Strata,192,"20,990",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
BARTLEY RESIDENCES,"2,300,000","1,603.84","1,434",Apr-22,LORONG HOW SUN,Resale,Strata,149,"15,436",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
WEST BAY CONDOMINIUM,"1,270,000","1,227.1","1,035",Apr-22,WEST COAST CRESCENT,Resale,Strata,114,"11,140",-,Condominium,1,99 yrs lease commencing from 1991,05,Outside Central Region,06 to 10
PARC SEABREEZE,"4,275,000","2,561.83","1,669",Apr-22,JOO CHIAT ROAD,Resale,Strata,238,"17,962",-,Apartment,1,Freehold,15,Rest of Central Region,16 to 20
QUESTA @ DUNMAN,"820,000",527.44,"1,555",Apr-22,DUNMAN ROAD,Resale,Strata,49,"16,735",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
GRAMERCY PARK,"9,050,000","2,680.24","3,377",Apr-22,GRANGE ROAD,Resale,Strata,249,"36,345",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
KOVAN RESIDENCES,"2,450,000","1,765.3","1,388",Apr-22,KOVAN ROAD,Resale,Strata,164,"14,939",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10
NORTHVALE,"835,000","1,054.87",792,Apr-22,CHOA CHU KANG LOOP,Resale,Strata,98,"8,520",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05
WOODHAVEN,"830,000",731.95,"1,134",Apr-22,WOODGROVE AVENUE,Resale,Strata,68,"12,206",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"800,000",796.54,"1,004",Apr-22,FLORA DRIVE,Resale,Strata,74,"10,811",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
RIVERGATE,"4,100,000","1,496.2","2,740",Apr-22,ROBERTSON QUAY,Resale,Strata,139,"29,496",-,Apartment,1,Freehold,09,Core Central Region,11 to 15
ESPIRA SUITES,"1,320,000","1,065.64","1,239",Apr-22,LORONG H TELOK KURAU,Resale,Strata,99,"13,333",-,Apartment,1,Freehold,15,Outside Central Region,01 to 05
CASA CAMBIO,"755,000",473.62,"1,594",Apr-22,LIM TUA TOW ROAD,Resale,Strata,44,"17,159",-,Condominium,1,Freehold,19,Outside Central Region,01 to 05
RIO VISTA,"2,293,888","2,508.01",915,Apr-22,UPPER SERANGOON VIEW,Resale,Strata,233,"9,845",-,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,16 to 20
18 SHELFORD,"3,810,000","2,088.22","1,825",Apr-22,SHELFORD ROAD,Resale,Strata,194,"19,639",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
EAST VIEW 18,"1,310,000","1,173.28","1,117",Apr-22,RAMBUTAN ROAD,Resale,Strata,109,"12,018",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
KENSINGTON SQUARE,"650,000",430.56,"1,510",Apr-22,JALAN LOKAM,Resale,Strata,40,"16,250",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
RIPPLE BAY,"870,000",775.01,"1,123",Apr-22,PASIR RIS LINK,Resale,Strata,72,"12,083",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,06 to 10
THE VERVE,"1,038,000",818.06,"1,269",Apr-22,JALAN RAJAH,Resale,Strata,76,"13,658",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10
MARINA ONE RESIDENCES,"4,300,000","1,582.31","2,718",Apr-22,MARINA WAY,Resale,Strata,147,"29,252",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,31 to 35
D'LEEDON,"5,600,000","6,533.75",857,Apr-22,LEEDON HEIGHTS,Resale,Strata,607,"9,226",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,01 to 05
TANGLIN PARK,"2,320,000","1,022.58","2,269",Apr-22,RIDLEY PARK,Resale,Strata,95,"24,421",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE LUXURIE,"1,710,000","1,313.21","1,302",Apr-22,COMPASSVALE ROAD,Resale,Strata,122,"14,016",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
THE SANTORINI,"908,000",742.72,"1,223",Apr-22,TAMPINES STREET 86,Resale,Strata,69,"13,159",-,Condominium,1,99 yrs lease commencing from 2013,18,Outside Central Region,11 to 15
CARIBBEAN AT KEPPEL BAY,"3,950,000","3,207.67","1,231",Apr-22,KEPPEL BAY DRIVE,Resale,Strata,298,"13,255",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,06 to 10
CARPMAEL THIRTY-EIGHT,"2,222,000","1,259.39","1,764",Apr-22,CARPMAEL ROAD,Resale,Strata,117,"18,991",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SILVERSCAPE,"620,000",409.03,"1,516",Apr-22,LORONG 32 GEYLANG,Resale,Strata,38,"16,316",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
THE SUNNY SPRING,"1,500,000","1,194.8","1,255",Apr-22,LORONG 40 GEYLANG,Resale,Strata,111,"13,514",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PARC OLYMPIA,"693,000",645.84,"1,073",Apr-22,FLORA DRIVE,Resale,Strata,60,"11,550",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
STARVILLE,"1,600,000","1,216.33","1,315",Apr-22,LENGKONG TIGA,Resale,Strata,113,"14,159",-,Condominium,1,Freehold,14,Outside Central Region,11 to 15
WATERTOWN,"848,000",602.78,"1,407",Apr-22,PUNGGOL CENTRAL,Resale,Strata,56,"15,143",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,06 to 10
WATERFRONT ISLE,"1,148,888",893.41,"1,286",Apr-22,BEDOK RESERVOIR ROAD,Resale,Strata,83,"13,842",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,01 to 05
WILKIE STUDIO,"1,830,000","1,044.11","1,753",Apr-22,WILKIE ROAD,Resale,Strata,97,"18,866",-,Apartment,1,Freehold,09,Core Central Region,01 to 05
PARC CENTROS,"1,780,000","1,377.79","1,292",Apr-22,PUNGGOL CENTRAL,Resale,Strata,128,"13,906",-,Condominium,1,99 yrs lease commencing from 2012,19,Outside Central Region,06 to 10
ECHELON,"1,698,000",861.12,"1,972",Apr-22,ALEXANDRA VIEW,Resale,Strata,80,"21,225",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,06 to 10
CITYLIGHTS,"940,000",559.73,"1,679",Apr-22,JELLICOE ROAD,Resale,Strata,52,"18,077",-,Condominium,1,99 yrs lease commencing from 2004,08,Rest of Central Region,16 to 20
KATONG APARTMENTS,"1,828,000","1,377.79","1,327",Apr-22,MANGIS ROAD,Resale,Strata,128,"14,281",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
OASIS @ ELIAS,"1,430,000","1,496.2",956,Apr-22,ELIAS ROAD,Resale,Strata,139,"10,288",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10
BOUGAINVILLA APARTMENTS,"950,000",979.52,970,Apr-22,LORONG 19 GEYLANG,Resale,Strata,91,"10,440",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
SYMPHONY HEIGHTS,"2,398,000","1,668.42","1,437",Apr-22,HUME AVENUE,Resale,Strata,155,"15,471",-,Condominium,1,Freehold,21,Outside Central Region,01 to 05
DYNASTY GARDEN,"3,315,000","2,002.1","1,656",Apr-22,SIXTH AVENUE,Resale,Strata,186,"17,823",-,Condominium,1,Freehold,10,Core Central Region,-
CANBERRA RESIDENCES,"998,000",904.18,"1,104",Apr-22,CANBERRA DRIVE,Resale,Strata,84,"11,881",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
COSTA DEL SOL,"1,600,000","1,560.78","1,025",Apr-22,BAYSHORE ROAD,Resale,Strata,145,"11,034",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
NEPTUNE COURT,"1,650,000","1,636.13","1,008",Apr-22,MARINE VISTA,Resale,Strata,152,"10,855",-,Apartment,1,99 yrs lease commencing from 1975,15,Outside Central Region,01 to 05
WATERFRONT ISLE,"1,140,000",958,"1,190",Apr-22,BEDOK RESERVOIR ROAD,Resale,Strata,89,"12,809",-,Condominium,1,99 yrs lease commencing from 2009,16,Outside Central Region,01 to 05
RIVERBANK @ FERNVALE,"1,210,000","1,011.82","1,196",Apr-22,FERNVALE CLOSE,Resale,Strata,94,"12,872",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,16 to 20
THE TOMLINSON,"8,500,000","3,702.82","2,296",Apr-22,CUSCADEN ROAD,Resale,Strata,344,"24,709",-,Apartment,1,Freehold,10,Core Central Region,16 to 20
WATERTOWN,"815,000",527.44,"1,545",Apr-22,PUNGGOL CENTRAL,Resale,Strata,49,"16,633",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
